(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-975.000000, 870.000000, -507.000000, -2108.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
(-1015.000000, 829.000000, -417.000000, -4080.000000)
